"CO_NCM","Setor","Subsetor","Produto","NCM"
"01011010","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS REPRODUTORES DE RACA PURA"
"01011090","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ASININOS E MUARES,REPRODUTORES DE RACA PURA"
"01011100","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS REPRODUTORES,DE RACA PURA"
"01011900","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","OUTROS CAVALOS,VIVOS"
"01012000","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS"
"01012100","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS REPRODUTORES DE RACA PURA"
"01012900","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS VIVOS, EXCETO REPRODUTORES DE RACA PURA"
"01013000","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ANIMAIS ESPECIE ASININA/MUAR, REPRODUTORES DE RACA PURA"
"01019000","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ANIMAIS ESPECIE ASININA/MUAR, EXCETO REPROD. RACA PURA"
"01019010","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS VIVOS EXCETO REPRODUTORES DE RACA PURA"
"01019090","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ASININOS E MUARES.VIVOS,EXC.REPRODUTORES DE RACA PURA"
"01021010","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","BOVINOS REPRODUT.DE RACA PURA,PRENHE OU COM CRIA AO PE"
"01021090","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","BOVINOS REPRODUT.DE RACA PURA,EXC.PRENHE/COM CRIA AO PE"
"01022110","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","BOVINOS REPRODUTORES RACA PURA, PRENHE OU C/ CRIA AO PE"
"01022190","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTROS BOVINOS REPRODUTORES DE RACA PURA"
"01022911","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTROS BOVINOS PARA REPRODUCAO, PRENHE OU C/ CRIA AO PE"
"01022919","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTROS BOVINOS PARA REPRODUCAO"
"01022990","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTROS BOVINOS VIVOS"
"01023110","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BUBALINOS VIVOS","BUFALOS REPRODUTORES DE RACA PURA, PRENHE OU COM CRIA A"
"01023190","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BUBALINOS VIVOS","OUTROS BUFALOS PARA REPRODUCAO,EXC.REPROD. RACA PURA"
"01023911","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BUBALINOS VIVOS","OUTROS BUFALOS P/REPRO.,EXC.RACA PURA,PREN.OU C/CRIA PE"
"01023919","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BUBALINOS VIVOS","OUTROS BUFALOS PARA REPRODUCAO,EXC.REPROD. RACA PURA"
"01023990","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BUBALINOS VIVOS","OUTROS BUFALOS"
"01029000","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTROS ANIMAIS VIVOS DA ESPECIE BOVINA"
"01029011","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTS.BOVINOS PARA REPRODUCAO,PRENHES OU COM CRIA AO PE"
"01029019","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTS.BOVINOS PARA REPRODUCAO"
"01029090","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTROS BOVINOS VIVOS"
"01031000","ANIMAIS VIVOS (EXCETO PESCADOS)","SUÍNOS VIVOS","SUÍNOS VIVOS","SUINOS REPRODUTORES DE RACA PURA"
"01039100","ANIMAIS VIVOS (EXCETO PESCADOS)","SUÍNOS VIVOS","SUÍNOS VIVOS","OUTROS SUINOS VIVOS,DE PESO INFERIOR A 50KG"
"01039200","ANIMAIS VIVOS (EXCETO PESCADOS)","SUÍNOS VIVOS","SUÍNOS VIVOS","OUTROS SUINOS VIVOS,DE PESO IGUAL OU SUPERIOR A 50KG"
"01041011","ANIMAIS VIVOS (EXCETO PESCADOS)","OVINOS E CAPRINOS VIVOS","OVINOS VIVOS","OVINOS REPRODUT.DE RACA PURA,PRENHES OU COM CRIA AO PE"
"01041019","ANIMAIS VIVOS (EXCETO PESCADOS)","OVINOS E CAPRINOS VIVOS","OVINOS VIVOS","OUTS.OVINOS REPRODUTORES DE RACA PURA"
"01041090","ANIMAIS VIVOS (EXCETO PESCADOS)","OVINOS E CAPRINOS VIVOS","OVINOS VIVOS","OVINOS VIVOS EXCETO OS REPRODUTORES DE RACA PURA"
"01042010","ANIMAIS VIVOS (EXCETO PESCADOS)","OVINOS E CAPRINOS VIVOS","CAPRINOS VIVOS","CAPRINOS REPRODUTORES DE RACA PURA"
"01042090","ANIMAIS VIVOS (EXCETO PESCADOS)","OVINOS E CAPRINOS VIVOS","CAPRINOS VIVOS","OUTS.CAPRINOS VIVOS"
"01051110","ANIMAIS VIVOS (EXCETO PESCADOS)","GALOS E GALINHAS VIVOS","GALOS E GALINHAS VIVOS","GALOS/GALINHAS(PINTOS),P<=185G,LINHA PURA/HIBR.P/REPROD"
"01051190","ANIMAIS VIVOS (EXCETO PESCADOS)","GALOS E GALINHAS VIVOS","GALOS E GALINHAS VIVOS","OUTROS GALOS E GALINHAS (PINTOS),VIVOS,DE PESO<=185G"
"01051200","ANIMAIS VIVOS (EXCETO PESCADOS)","PERUS VIVOS","PERUS VIVOS","PERUAS E PERUS (FILHOTES),VIVOS,DE PESO<=185G"
"01051300","ANIMAIS VIVOS (EXCETO PESCADOS)","PATOS VIVOS","PATOS VIVOS","PATOS"
"01051400","ANIMAIS VIVOS (EXCETO PESCADOS)","GANSOS VIVOS","GANSOS VIVOS","GANSOS"
"01051500","ANIMAIS VIVOS (EXCETO PESCADOS)","GALINHAS DANGOLA VIVAS","GALINHAS DANGOLA VIVAS","GALINHAS DANGOLA - PINTADAS"
"01051900","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","PATOS,GANSOS,GALINHAS D'ANGOLA (FILHOTES),VIVOS,P<=185G"
"01059200","ANIMAIS VIVOS (EXCETO PESCADOS)","GALOS E GALINHAS VIVOS","GALOS E GALINHAS VIVOS","OUTROS GALOS E GALINHAS,VIVOS,DE PESO<=2.000G"
"01059300","ANIMAIS VIVOS (EXCETO PESCADOS)","GALOS E GALINHAS VIVOS","GALOS E GALINHAS VIVOS","GALOS E GALINHAS,VIVOS,DE PESO SUPERIOR A 2.000G"
"01059400","ANIMAIS VIVOS (EXCETO PESCADOS)","GALOS E GALINHAS VIVOS","GALOS E GALINHAS VIVOS","GALOS E GALINHAS,VIVOS,DE PESO>185G"
"01059900","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","PATOS,GANSOS,PERUS,PERUAS,ETC.VIVOS,DE PESO>185G"
"01060000","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS"
"01060010","ANIMAIS VIVOS (EXCETO PESCADOS)","AVESTRUZES VIVAS","AVESTRUZES VIVAS","AVESTRUZES 'STRUTHIO CAMELUS' PARA REPRODUCAO"
"01060090","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS"
"01061100","ANIMAIS VIVOS (EXCETO PESCADOS)","PRIMATAS VIVOS","PRIMATAS VIVOS","PRIMATAS VIVOS"
"01061200","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","BALEIAS,GOLFINHOS,MARSUINOS,PEIXES-BOI E DUGONGOS,VIVOS"
"01061300","ANIMAIS VIVOS (EXCETO PESCADOS)","CAMELOS E OUTROS CAMELIDEOS VIVOS","CAMELOS E OUTROS CAMELIDEOS VIVOS","CAMELOS E OUTROS CAMELIDEOS (CAMELIDAE)"
"01061400","ANIMAIS VIVOS (EXCETO PESCADOS)","COELHOS E LEBRES VIVOS","COELHOS E LEBRES VIVOS","COELHOS E LEBRES"
"01061900","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","OUTROS MAMIFEROS VIVOS"
"01062000","ANIMAIS VIVOS (EXCETO PESCADOS)","RÉPTEIS VIVOS","RÉPTEIS VIVOS","REPTEIS VIVOS (INCL.AS SERPENTES E TARTARUGAS MARINHAS)"
"01063100","ANIMAIS VIVOS (EXCETO PESCADOS)","AVES DE RAPINA VIVAS","AVES DE RAPINA VIVAS","AVES DE RAPINA,VIVAS"
"01063200","ANIMAIS VIVOS (EXCETO PESCADOS)","PSITACIFORMES (INCL.OS PAPAGAIOS,AS ARARAS,ETC) VIVOS","PSITACIFORMES (INCL.OS PAPAGAIOS,AS ARARAS,ETC) VIVOS","PSITACIFORMES VIVOS (INCL.OS PAPAGAIOS,AS ARARAS,ETC)"
"01063310","ANIMAIS VIVOS (EXCETO PESCADOS)","AVESTRUZES VIVAS","AVESTRUZES VIVAS","AVESTRUZES (STRUTHIO CAMELUS), PARA REPRODUCAO"
"01063390","ANIMAIS VIVOS (EXCETO PESCADOS)","AVESTRUZES VIVAS","AVESTRUZES VIVAS","OUTROS AVESTRUZES"
"01063900","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","OUTRAS AVES VIVAS"
"01063910","ANIMAIS VIVOS (EXCETO PESCADOS)","AVESTRUZES VIVAS","AVESTRUZES VIVAS","AVESTRUZES PARA REPRODUCAO"
"01063990","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","OUTRAS AVES VIVAS"
"01064100","ANIMAIS VIVOS (EXCETO PESCADOS)","ABELHAS VIVAS","ABELHAS VIVAS","ABELHAS"
"01064900","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","OUTROS INSETOS"
"01069000","ANIMAIS VIVOS (EXCETO PESCADOS)","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS","OUTROS ANIMAIS VIVOS"
"02011000","CARNES","CARNE BOVINA","CARNE BOVINA in natura","CARCACAS E MEIAS-CARCACAS DE BOVINOS,FRESCAS OU REFRIG."
"02012010","CARNES","CARNE BOVINA","CARNE BOVINA in natura","QUARTOS DIANTEIROS N/DESOSSAD.DE BOVINOS,FRESCOS/REFRIG"
"02012020","CARNES","CARNE BOVINA","CARNE BOVINA in natura","QUARTOS TRASEIROS N/DESOSSAD.DE BOVINOS,FRESCOS/REFRIG."
"02012090","CARNES","CARNE BOVINA","CARNE BOVINA in natura","OUTS.PECAS NAO DESOSSADAS DE BOVINOS,FRESCAS OU REFRIG."
"02013000","CARNES","CARNE BOVINA","CARNE BOVINA in natura","CARNES DESOSSADAS DE BOVINOS,FRESCAS OU REFRIGERADAS"
"02021000","CARNES","CARNE BOVINA","CARNE BOVINA in natura","CARCACAS E MEIAS-CARCACAS,DE BOVINOS,CONGELADAS"
"02022010","CARNES","CARNE BOVINA","CARNE BOVINA in natura","QUARTOS DIANTEIROS NAO DESOSSADOS,DE BOVINOS,CONGELADOS"
"02022020","CARNES","CARNE BOVINA","CARNE BOVINA in natura","QUARTOS TRASEIROS NAO DESOSSADOS,DE BOVINOS,CONGELADOS"
"02022090","CARNES","CARNE BOVINA","CARNE BOVINA in natura","OUTRAS PECAS NAO DESOSSADAS DE BOVINOS,CONGELADAS"
"02023000","CARNES","CARNE BOVINA","CARNE BOVINA in natura","CARNES DESOSSADAS,DE BOVINOS,CONGELADAS"
"02031100","CARNES","CARNE SUÍNA","CARNE SUÍNA in natura","CARCACAS E MEIAS-CARCACAS DE SUINOS,FRESCAS OU REFRIG."
"02031200","CARNES","CARNE SUÍNA","CARNE SUÍNA in natura","PERNAS,PAS,ETC.NAO DESOSSAD.DE SUINOS,FRESCOS OU REFRIG"
"02031900","CARNES","CARNE SUÍNA","CARNE SUÍNA in natura","OUTRAS CARNES DE SUINOS,FRESCAS OU REFRIGERADAS"
"02032100","CARNES","CARNE SUÍNA","CARNE SUÍNA in natura","CARCACAS E MEIAS-CARCACAS DE SUINOS,CONGELADAS"
"02032200","CARNES","CARNE SUÍNA","CARNE SUÍNA in natura","PERNAS,PAS E PEDACOS NAO DESOSSAD.DE SUINOS,CONGELADOS"
"02032900","CARNES","CARNE SUÍNA","CARNE SUÍNA in natura","OUTRAS CARNES DE SUINOS,CONGELADAS"
"02041000","CARNES","CARNE DE OVINO E CAPRINO","CARNE DE OVINO in natura","CARCACAS E MEIAS-CARCACAS DE CORDEIRO,FRESCAS OU REFRIG"
"02042100","CARNES","CARNE DE OVINO E CAPRINO","CARNE DE OVINO in natura","CARCACAS E MEIAS-CARCACAS DE OVINO,FRESCAS OU REFRIGER."
"02042200","CARNES","CARNE DE OVINO E CAPRINO","CARNE DE OVINO in natura","OUTRAS PECAS NAO DESOSSADAS DE OVINOS,FRESCAS OU REFRIG"
"02042300","CARNES","CARNE DE OVINO E CAPRINO","CARNE DE OVINO in natura","CARNES DESOSSADAS DE OVINOS,FRESCAS OU REFRIGERADAS"
"02043000","CARNES","CARNE DE OVINO E CAPRINO","CARNE DE OVINO in natura","CARCACAS E MEIAS-CARCACAS DE CORDEIRO,CONGELADAS"
"02044100","CARNES","CARNE DE OVINO E CAPRINO","CARNE DE OVINO in natura","CARCACAS E MEIAS-CARCACAS DE OVINO,CONGELADAS"
"02044200","CARNES","CARNE DE OVINO E CAPRINO","CARNE DE OVINO in natura","OUTRAS PECAS NAO DESOSSADAS DE OVINO,CONGELADAS"
"02044300","CARNES","CARNE DE OVINO E CAPRINO","CARNE DE OVINO in natura","CARNES DESOSSADAS DE OVINO,CONGELADAS"
"02045000","CARNES","CARNE DE OVINO E CAPRINO","CARNES DE CAPRINO in natura","CARNES DE CAPRINO,FRESCAS,REFRIGERADAS OU CONGELADAS"
"02050000","CARNES","CARNES DE EQÜIDEOS","CARNES DE CAVALO, ASININO E MUAR","CARNES DE CAVALOS,ASININOS E MUARES,FRESCAS/REFRIG/CONG"
"02061000","CARNES","CARNE BOVINA","MIUDEZAS DE CARNE BOVINA","MIUDEZAS COMESTIVEIS,DE BOVINOS,FRESCAS OU REFRIGERADAS"
"02062100","CARNES","CARNE BOVINA","MIUDEZAS DE CARNE BOVINA","LINGUAS DE BOVINOS,CONGELADAS"
"02062200","CARNES","CARNE BOVINA","MIUDEZAS DE CARNE BOVINA","FIGADOS DE BOVINOS,CONGELADOS"
"02062910","CARNES","CARNE BOVINA","MIUDEZAS DE CARNE BOVINA","RABOS DE BOVINOS,CONGELADOS"
"02062990","CARNES","CARNE BOVINA","MIUDEZAS DE CARNE BOVINA","OUTRAS MIUDEZAS COMESTIVEIS,DE BOVINOS,CONGELADAS"
"02063000","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","MIUDEZAS COMESTIVEIS,DE SUINOS,FRESCAS OU REFRIGERADAS"
"02064100","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","FIGADOS DE SUINOS,CONGELADOS"
"02064900","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","OUTRAS MIUDEZAS COMESTIVEIS,DE SUINOS,CONGELADAS"
"02068000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","MIUDEZAS COMESTIV.DE OVINOS,OUTS.ANIMAIS.FRESCAS/REFRIG"
"02069000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","MIUDEZAS COMESTIVEIS,DE OVINOS,OUTS.ANIMAIS,CONGELADAS"
"02071100","CARNES","CARNE DE FRANGO","CARNE DE FRANGO in natura","GALOS E GALINHAS,N/CORTADAS EM PEDACOS,FRESCAS/REFRIG."
"02071200","CARNES","CARNE DE FRANGO","CARNE DE FRANGO in natura","GALOS E GALINHAS,N/CORTADAS EM PEDACOS,CONGELADAS"
"02071210","CARNES","CARNE DE FRANGO","CARNE DE FRANGO in natura","CARNES DE GALOS/GALINHAS, NÃO CORTADAS EM PEDAÇOS, CONGELADAS, COM MIUDEZAS"
"02071220","CARNES","CARNE DE FRANGO","CARNE DE FRANGO in natura","CARNES DE GALOS/GALINHAS, NÃO CORTADAS EM PEDAÇOS, CONGELADAS, SEM MIUDEZAS"
"02071300","CARNES","CARNE DE FRANGO","CARNE DE FRANGO in natura","PEDACOS E MIUD.COMEST.DE GALOS/GALINHAS,FRESCAS/REFRIG."
"02071400","CARNES","CARNE DE FRANGO","CARNE DE FRANGO in natura","PEDACOS E MIUDEZAS,COMESTIV.DE GALOS/GALINHAS,CONGELAD."
"02072400","CARNES","CARNE DE PERU","CARNE DE PERU in natura","PERUAS E PERUS,N/CORTADOS EM PEDACOS,FRESCOS/REFRIGER."
"02072500","CARNES","CARNE DE PERU","CARNE DE PERU in natura","PERUAS E PERUS,N/CORTADOS EM PEDACOS,CONGELADOS"
"02072600","CARNES","CARNE DE PERU","CARNE DE PERU in natura","PERUAS E PERUS,EM PEDACOS,MIUDEZ.COMEST.FRESCOS/REFRIG."
"02072700","CARNES","CARNE DE PERU","CARNE DE PERU in natura","PERUAS E PERUS,EM PEDACOS E MIUDEZ.COMESTIV,CONGELADAS"
"02073200","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","PATOS,GANSOS,ETC.N/CORTADOS EM PEDACOS,FRESCOS/REFRIG."
"02073300","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES DE PATOS,GANSOS,ETC.N/CORT.EM PEDACOS,CONGELADOS"
"02073400","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","FIGADOS GORDOS,DE PATOS/GANSOS/PINTADAS,FRESCAS/REFRIG."
"02073500","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","OUTS.CARNES/MIUDEZAS,DE PATOS,GANSOS,ETC.FRESCAS/REFRIG"
"02073600","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","OUTRAS CARNES,MIUDEZAS,DE PATOS,GANSOS,ETC.CONGELADAS"
"02074100","CARNES","CARNE DE PATO","CARNE DE PATO in natura","CARNES DE PATOS, NAO CORT. EM PEDACOS,FRESCAS OU REFRIG"
"02074200","CARNES","CARNE DE PATO","CARNE DE PATO in natura","CARNES DE PATOS, NAO CORTADAS EM PEDACOS, CONGELADAS"
"02074300","CARNES","CARNE DE PATO","CARNE DE PATO in natura","FIGADOS GORDOS (FOIES GRAS) DE PATOS, FRES. OU REFRIG."
"02074400","CARNES","CARNE DE PATO","CARNE DE PATO in natura","OUTRAS CARNES DE PATOS, FRESCAS OU REFRIGERADAS"
"02074500","CARNES","CARNE DE PATO","CARNE DE PATO in natura","OUTRAS CARNES DE PATOS, CONGELADAS"
"02075100","CARNES","CARNE DE GANSO","CARNE DE GANSO in natura","CARNES DE GANSOS, NAO CORT. EM PED., FRESCAS OU REFRIG"
"02075200","CARNES","CARNE DE GANSO","CARNE DE GANSO in natura","CARNES DE GANSOS, NAO CORTADAS EM PEDACOS, CONGELADAS"
"02075300","CARNES","CARNE DE GANSO","CARNE DE GANSO in natura","FIGADOS GORDOS (FOIES GRAS) DE GANSOS,FRESCOS OU REFRIG"
"02075400","CARNES","CARNE DE GANSO","CARNE DE GANSO in natura","OUTRAS CARNES DE GANSOS, FRESCAS OU REFRIGERADAS"
"02075500","CARNES","CARNE DE GANSO","CARNE DE GANSO in natura","OUTRAS CARNES DE GANSOS, CONGELADAS"
"02076000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES DE GALINHAS DANGOLA (PINTADAS)"
"02081000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES E MIUDEZAS,DE COELHOS/LEBRES,FRESCAS/REFRIG/CONG"
"02082000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","COXAS DE RA,FRESCAS,REFRIGERADAS OU CONGELADAS"
"02083000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES DE PRIMATAS,CONGADAS,FRESCAS OU REFRIGERADAS"
"02084000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES DE BALEIAS,ETC.FRESCAS,REFRIG.OU CONGELADAS"
"02085000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES DE REPTEIS,FRESCAS,REFRIGERADAS OU CONGELADAS"
"02086000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","OUTRAS CARNES/MIUD.COMES,DE CAMELOS E OUTROS CAMELIDEOS"
"02089000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES E MIUDEZAS,DE OUTS.ANIMAIS,FRESCOS/REFRIG/CONG."
"02090011","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","TOUCINHO SEM PARTES MAGRAS,FRESCO/REFRIGERADO/CONGELADO"
"02090019","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","TOUCINHO SEM PARTES MAGRAS,SALGADO/SALMOURA/SECO/DEFUM."
"02090021","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","GORDURAS DE PORCO","GORDURA DE PORCO,FRESCA,REFRIGERADA OU CONGELADA"
"02090029","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","GORDURAS DE PORCO","GORDURA DE PORCO,N/FUNDIDA,SALGADA,EM SALMOURA,SECA,ETC"
"02090090","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","OUTRAS GORDURAS E OLEOS DE ORIGEM ANIMAL","GORDURA DE AVES,N/FUNDIDA,FRESCA,REFRIGERADA,CONGEL.ETC"
"02091011","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","TOUCINHO DE PORCO, FRESCO, REFRIGERADO OU CONGELADO"
"02091019","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","OUTROS TOUCINHOS DE PORCO"
"02091021","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","GORDURAS DE PORCO","GORDURA DE PORCO, FRESCA, REFRIGERADA OU CONGELADA"
"02091029","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","GORDURAS DE PORCO","OUTRAS GORDURAS DE PORCO"
"02099000","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","OUTRAS GORDURAS E OLEOS DE ORIGEM ANIMAL","OUTROS TOUCINHOS E GORDURAS"
"02101100","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","PERNAS/PAS/PEDACOS,DE SUINO,N/DESOSSADOS,SALGADOS,ETC."
"02101200","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","BARRIGAS E PEITOS,ENTREMEADOS,DE SUINO,SALGADOS,ETC."
"02101900","CARNES","CARNE SUÍNA","MIUDEZAS DE CARNE SUÍNA","OUTS.CARNES DE SUINO,SALGADAS OU EM SALMOURA,SECAS,ETC."
"02102000","CARNES","CARNE BOVINA","MIUDEZAS DE CARNE BOVINA","CARNES DE BOVINOS,SALGADAS/EM SALMOURA/SECAS/DEFUMADAS"
"02109000","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES E MIUDEZAS,DE OUTROS ANIMAIS,SALGADOS,ETC."
"02109100","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES DE PRIMATAS,SALGADAS,SECAS,ETC."
"02109200","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES DE BALEIAS,ETC.SALGADAS,SECAS,ETC."
"02109300","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","CARNES DE REPTEIS,SALGADAS,SECAS,ETC."
"02109900","CARNES","CARNE DE FRANGO","CARNE DE FRANGO INDUSTRIALIZADA","CARNES DE OUTS.ANIMAIS,SALGADAS,SECAS,ETC."
"02109911","CARNES","CARNE DE FRANGO","CARNE DE FRANGO in natura","CARNES DE GALOS E DE GALINHAS SALGADAS OU EM SALMOURA"
"02109919","CARNES","CARNE DE FRANGO","CARNE DE FRANGO in natura","OUTRAS CARNES DE GALOS E GALINHAS"
"02109920","CARNES","CARNE DE OVINO E CAPRINO","MIUDEZAS DE CARNE DE OVINO","CARNES DA ESPÉCIE OVINA"
"02109940","CARNES","DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES","DEMAIS CARNES E MIUDEZAS","OUTRAS MIUDEZAS COMESTÍVEIS"
